UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT
1654903172,24.68,34.46,159.0,1097.0,13142.0,19822,931.111,1488.01,1702.56,9847.95,1784.281,188.06,167
1654903173,24.69,34.7,160.0,1125.0,13128.0,19814,931.115,1451.82,1630.76,9684.85,1704.534,153.97799999999998,168
1654903174,24.66,34.94,165.0,1153.0,13114.0,19801,931.116,1321.14,1444.02,8913.52,1503.319,101.33,169
1654903175,24.64,35.09,163.0,1165.0,13105.0,19803,931.109,1252.66,1355.66,8485.38,1409.24,82.969,170
1654903176,24.62,35.33,176.0,1182.0,13093.0,19791,931.111,1209.3,1289.93,8238.91,1337.973,61.846,171
1654903177,24.64,35.52,197.0,1210.0,13081.0,19776,931.103,1133.15,1202.43,7735.88,1246.223,51.862,172
1654903178,24.61,35.72,200.0,1206.0,13077.0,19777,931.105,1164.22,1226.12,7971.32,1269.284,44.27,173
1654903179,24.64,35.83,152.0,1094.0,13142.0,19825,931.108,891.46,936.32,6110.1,968.881,31.441,174
1654903180,24.61,35.84,102.0,923.0,13239.0,19884,931.11,518.62,542.6,3559.95,561.121,16.233,175
1654903181,24.61,35.82,80.0,931.0,13230.0,19899,931.112,390.29,407.77,2680.53,421.604,11.666,176
1654903182,24.65,35.48,94.0,1078.0,13151.0,19865,931.11,234.07,243.89,1609.25,252.051,6.351,177
1654903183,24.68,35.5,90.0,1031.0,13170.0,19891,931.112,280.89,292.51,1931.6,302.273,7.459,178
1654903184,24.73,35.29,32.0,979.0,13207.0,19946,931.123,570.73,593.83,3925.89,613.5790000000001,14.68,179
1654903185,24.78,34.76,0.0,848.0,13273.0,20013,931.117,660.73,687.29,4545.55,710.105,16.799,180
1654903186,24.78,33.88,0.0,855.0,13268.0,20016,931.106,727.68,756.6,5006.88,781.666,18.191,181
1654903187,24.78,33.35,0.0,886.0,13259.0,19998,931.105,646.4,671.99,4447.91,694.24,16.061,182
1654903188,24.76,33.11,1.0,881.0,13250.0,19991,931.102,499.55,519.21,3437.7,536.386,12.303,183
1654903189,24.76,33.11,0.0,835.0,13272.0,20000,931.102,411.47,427.63,2831.62,441.766,10.102,184
1654903190,24.76,33.19,0.0,792.0,13296.0,20004,931.091,292.52,303.97,2013.13,314.019,7.149,185
1654903191,26.2,33.26,0.0,799.0,13299.0,20015,931.107,319.01,331.48,2195.55,342.423,7.765,186
1654903192,26.64,32.48,0.0,812.0,13286.0,20019,931.101,358.51,372.51,2467.43,384.814,8.72,187
1654903193,26.87,31.66,5.0,847.0,13263.0,19992,931.097,395.91,411.36,2724.81,424.944,9.623,188
1654903194,27.05,30.94,16.0,883.0,13250.0,19984,931.095,399.33,414.91,2748.42,428.61,9.697,189
1654903195,27.19,30.52,24.0,923.0,13229.0,19981,931.102,406.69,422.55,2799.02,436.497,9.872,190
1654903196,27.3,30.31,41.0,980.0,13195.0,19962,931.112,431.98,448.82,2973.14,463.641,10.48,191
1654903197,27.52,30.61,164.0,1331.0,13002.0,19834,931.111,455.84,473.6,3137.31,489.24,11.057,192
1654903198,27.59,31.09,202.0,1360.0,12995.0,19795,931.104,496.25,515.59,3415.46,532.609,12.034,193
1654903199,27.67,31.37,226.0,1384.0,12976.0,19774,931.091,649.72,675.05,4471.77,697.329,15.755,194
1654903200,27.74,31.58,228.0,1397.0,12978.0,19761,931.086,1183.44,1229.56,8145.15,1270.151,28.693,195
1654903201,27.82,48.536968725454045,230.0,1388.0,12980.0,19772,931.09,1425.11,1480.64,9808.44,1529.521,34.552,196
1654903202,27.91,31.94,235.0,1425.0,12963.0,19768,931.094,1732.95,1800.47,11927.15,1859.907,42.012,197
1654903203,27.97,32.04,259.0,1480.0,12934.0,19731,931.09,1828.44,1899.69,12584.41,1962.399,44.325,198
1654903204,28.05,32.32,276.0,1507.0,12921.0,19728,931.105,1869.89,1942.75,12869.72,2006.886,45.33,199
1654903205,28.12,32.8,297.0,1543.0,12901.0,19706,931.115,2023.6,2102.45,13927.62,2171.853,49.055,200
1654903206,28.21,33.21,298.0,1547.0,12895.0,19692,931.106,2386.11,2479.08,16422.62,2560.918,57.84,201
1654903207,28.27,33.24,318.0,1556.0,12890.0,19681,931.112,2592.77,2693.8,17845.02,2782.723,62.852,202
1654903208,28.31,33.18,338.0,1667.0,12871.0,19665,931.122,2535.46,2634.26,17450.57,2721.213,61.461000000000006,203
1654903209,28.39,33.07,373.0,1846.0,12846.0,19622,931.118,2504.43,2602.02,17237.0,2687.908,60.709,204
1654903210,28.46,32.85,392.0,1902.0,12837.0,19597,931.109,2711.95,2817.61,18665.22,2910.625,65.74,205
1654903211,28.5,32.58,426.0,1996.0,12825.0,19581,931.109,2550.84,2650.23,17556.41,2737.719,61.834,206
1654903212,28.56,32.24,435.0,1998.0,12823.0,19561,931.105,2485.65,2582.5,17107.73,2667.752,60.254,207
1654903213,28.63,32.07,447.0,2014.0,12818.0,19548,931.097,2290.12,2379.35,15761.96,2457.893,55.516000000000005,208
1654903214,28.73,31.77,461.0,2031.0,12812.0,19528,931.103,2205.8,2291.75,15181.64,2367.4,53.471,209
1654903215,28.76,31.59,480.0,2047.0,12812.0,19518,931.098,2066.63,2147.16,14223.81,2218.038,50.096,210
1654903216,28.83,31.41,489.0,2077.0,12806.0,19504,931.106,2111.05,2193.31,14529.54,2265.713,51.174,211
1654903217,28.87,31.37,502.0,2114.0,12806.0,19498,931.107,2278.88,2367.68,15684.61,2445.8320000000003,55.242,212
1654903218,28.93,31.35,493.0,1962.0,12824.0,19504,931.107,2067.03,2147.57,14226.53,2218.464,50.105,213
1654903219,28.97,31.42,518.0,1978.0,12821.0,19475,931.105,1493.07,1551.25,10276.2,1602.454,36.193000000000005,214
1654903220,29.03,31.5,518.0,2038.0,12817.0,19480,931.101,1318.37,1369.74,9073.84,1414.9589999999998,31.959,215
1654903221,27.76,31.6,537.0,2162.0,12794.0,19459,931.106,1409.22,1464.13,9699.09,1512.461,34.16,216
1654903222,27.32,32.49,557.0,2273.0,12770.0,19433,931.109,1461.96,1518.93,10062.11,1569.069,35.439,217
1654903223,27.15,33.4,566.0,2337.0,12764.0,19421,931.115,1365.12,1418.31,9395.57,1465.131,33.091,218
1654903224,27.06,34.39,588.0,2473.0,12740.0,19389,931.114,1417.0,1472.21,9752.61,1520.806,34.35,219
1654903225,26.98,35.22,971.0,3385.0,12596.0,19224,931.119,1563.55,1624.47,10761.3,1678.1,37.902,220
1654903226,26.96,36.02,2160.0,4788.0,12356.0,18900,931.119,1677.9,1743.28,11548.3,1800.8239999999998,40.674,221
1654903227,26.98,36.69,7215.0,10513.0,12019.0,18343,931.118,2023.25,2102.08,13925.21,2171.475,49.045,222
1654903228,26.95,37.26,14494.0,17899.0,11666.0,17878,931.108,2383.2,2476.06,16402.61,2557.795,57.77,223
1654903229,26.91,37.01,14647.0,16579.0,11729.0,17876,931.099,3045.09,3163.74,20958.15,3268.178,73.816,224
1654903230,26.92,36.84,18031.0,16129.0,11763.0,17817,931.095,4478.24,4654.56,30817.29,4808.508,110.336,225
1654903231,15.972251808462968,37.13,18031.0,15946.0,11762.0,17809,931.083,6110.81,6377.86,41985.5,6593.105,176.227,226
1654903232,26.92,37.54,15095.0,14473.0,11836.0,17854,931.099,6644.22,6972.13,45556.01,7213.531,228.066,227
1654903233,26.9,37.88,14394.0,13290.0,11888.0,17900,931.099,5380.05,5725.42,36687.69,5936.535,262.18,228
1654903234,26.95,38.0,18062.0,14481.0,11837.0,17824,931.103,5824.29,6229.89,39637.3,6464.66,314.617,229
1654903235,26.95,38.03,16269.0,13771.0,11869.0,17846,931.112,6491.86,6969.54,44116.18,7236.234,375.516,230
1654903236,26.99,37.95,14879.0,13084.0,11898.0,17865,931.117,7099.87,7657.64,48159.14,7956.238,445.004,231
1654903237,27.01,37.81,14394.0,12756.0,11919.0,17882,931.12,7894.88,8678.66,53140.84,9042.746,653.59,232
1654903238,27.02,37.68,14401.0,12237.0,11943.0,17899,931.115,7936.76,8776.42,53292.87,9152.562,707.258,233
1654903239,27.08,37.49,14056.0,11673.0,11968.0,17912,931.112,6216.94,6875.47,41742.74,7170.27,554.793,234
1654903240,27.11,37.24,14309.0,11947.0,11953.0,17895,931.106,6398.54,7063.01,42995.48,7363.816,558.094,235
1654903241,27.15,36.99,14071.0,11642.0,11974.0,17913,931.117,6861.79,7572.51,46112.93,7894.738,596.6990000000001,236
1654903242,27.23,36.84,12641.0,9773.0,12061.0,18008,931.107,7053.18,7802.12,47352.94,8136.93,631.1990000000001,237
1654903243,27.26,36.89,10658.0,7964.0,12144.0,18115,931.104,7153.46,7920.7,48006.96,8261.766,647.5980000000001,238
1654903244,27.32,37.08,8845.0,6285.0,12229.0,18250,931.113,7192.57,7962.68,48272.8,8305.359,649.855,239
1654903245,27.39,37.2,7415.0,5341.0,12277.0,18339,931.101,6705.28,7438.53,44963.89,203.3826604572125,620.688,240
1654903246,27.46,37.31,6877.0,5256.0,12295.0,18368,931.086,6561.78,7283.23,43991.79,7599.562,611.188,241
1654903247,27.53,37.49,6846.0,5316.0,12286.0,18368,931.1,6042.65,6701.95,40524.14,6992.258000000001,557.918,242
1654903248,27.59,37.61,6731.0,5219.0,12298.0,18362,931.11,4814.6,5329.66,32314.21,5558.9490000000005,434.57,243
1654903249,29.03,37.82,6278.0,5065.0,12321.0,18398,931.117,4143.99,4524.68,27970.63,4709.768,313.25,244
1654903250,29.52,37.29,6109.0,4933.0,12340.0,18418,931.1,4300.07,4649.71,29138.09,4832.869000000001,280.996,245
1654903251,29.82,36.75,5732.0,4857.0,12353.0,18430,931.1,4728.47,5040.97,32221.84,5228.285,239.129,246
1654903252,30.06,36.24,5394.0,4696.0,12382.0,18463,931.111,4919.06,5217.51,33587.58,5407.141,222.898,247
1654903253,30.24,35.94,5302.0,4689.0,12380.0,18469,931.106,4844.65,5117.58,33132.35,5300.219,199.133,248
1654903254,30.41,35.9,5148.0,4639.0,12391.0,18477,931.114,4755.8,4994.0,32599.38,5167.469,166.62900000000002,249
1654903255,30.58,36.35,4310.0,4477.0,12407.0,18522,931.128,4655.32,4878.14,31936.62,5045.916,153.059,250
1654903256,30.74,36.49,4664.0,4586.0,12399.0,18504,931.124,4544.01,4746.95,31209.56,4907.861,135.273,251
1654903257,30.86,36.23,3354.0,3911.0,12509.0,18613,931.111,3765.36,3929.24,25872.36,4061.736,107.93,252
1654903258,30.97,35.76,2507.0,2650.0,12708.0,18824,931.115,2326.23,2423.66,15993.48,2504.769,62.975,253
1654903259,31.13,35.05,1865.0,1904.0,12832.0,18999,931.117,1812.69,1887.55,12465.41,1950.549,48.04600000000001,254
1654903260,31.24,33.66,1756.0,1770.0,12843.0,19023,931.105,1114.4,1159.48,7665.78,1198.03,28.629,255
1654903261,31.33,32.63,797.0,1167.0,13084.0,19276,931.103,850.45,884.6,5850.77,913.971,21.601,256
1654903262,31.41,31.61,650.0,1123.0,13107.0,19341,931.093,479.72,498.78,3300.82,515.307,11.985,257
1654903263,31.52,30.36,653.0,1180.0,13085.0,19345,931.081,403.82,419.8,2778.68,433.695,10.028,258
1654903264,31.65,29.2,841.0,1361.0,12988.0,19244,931.082,359.21,373.35,2471.95,385.694,8.844,259
1654903265,31.75,28.48,1488.0,1621.0,12868.0,19089,931.086,378.7,393.57,2606.11,406.58,9.295,260
1654903266,31.82,28.18,1994.0,2220.0,12775.0,18964,931.078,413.69,429.89,2847.02,444.091,10.108,261
1654903267,31.93,48.536968725454045,1994.0,2125.0,12783.0,18952,931.066,493.83,513.15,3398.62,530.101,12.047,262
1654903268,32.04,28.34,2057.0,2217.0,12777.0,18942,931.071,428.03,444.75,2945.83,459.437,10.418,263
1654903269,32.09,28.44,1463.0,1470.0,12935.0,19108,931.075,333.21,346.22,2293.25,203.3826604572125,8.103,264
1654903270,32.15,28.08,680.0,1183.0,13076.0,19307,931.068,199.8,207.6,1375.14,214.453,4.853,265
1654903271,32.23,27.58,764.0,1323.0,13008.0,19270,931.073,178.47,185.43,1228.33,191.555,4.333,266
1654903272,32.33,27.27,787.0,1324.0,13002.0,19265,931.063,159.29,165.5,1096.32,170.96599999999998,3.866,267
1654903273,32.41,26.89,827.0,1333.0,12997.0,19260,931.059,153.44,159.42,1056.07,164.687,3.723,268
1654903274,32.54,26.61,860.0,1357.0,12979.0,19248,931.054,170.0,176.63,1170.05,182.459,4.124,269
1654903275,32.63,26.54,1199.0,1521.0,12894.0,19158,931.058,582.75,605.46,4010.83,625.452,14.132,270
1654903276,32.74,26.47,1456.0,1814.0,12837.0,19099,931.054,876.72,910.89,6034.11,203.3826604572125,21.259,271
1654903277,32.85,26.8,1530.0,2010.0,12808.0,19082,931.05,1251.07,1299.82,8610.56,1342.727,30.333,272
1654903278,33.02,27.72,1582.0,2247.0,12768.0,19063,931.058,1408.81,1463.71,9696.26,1512.027,34.156,273
1654903279,31.79,30.35,1613.0,2415.0,12744.0,19067,931.062,1792.6,1862.45,12337.75,1923.936,43.458,274
1654903280,31.43,33.71,1457.0,2431.0,12733.0,19089,931.059,2104.47,2186.47,14484.17,2258.646,51.016000000000005,275
1654903281,31.33,36.9,1295.0,2383.0,12744.0,19143,931.057,2158.57,2242.68,14856.56,2316.709,52.328,276
1654903282,31.29,42.05,1088.0,2388.0,12746.0,19190,931.079,3052.65,3171.59,21010.12,3276.2870000000003,73.998,277
1654903283,31.31,43.84,963.0,2349.0,12753.0,19220,931.083,4001.03,4169.24,27506.53,4308.871,108.941,278
1654903284,31.3,44.67,551.0,1531.0,12892.0,19442,931.093,3189.1,3321.21,21929.54,3432.123,84.926,279
1654903285,31.27,43.51,464.0,1393.0,12969.0,19540,931.102,1746.15,1816.94,12011.16,1877.367,44.998000000000005,280
1654903286,31.29,41.4,464.0,1379.0,12967.0,19527,931.085,1286.67,1338.42,8851.54,1382.871,32.763000000000005,281
1654903287,31.34,39.45,543.0,1496.0,12911.0,19450,931.07,609.65,633.89,4194.73,654.899,15.255,282
1654903288,31.4,37.71,540.0,1531.0,12891.0,19449,931.073,396.7,412.41,2729.67,426.067,9.865,283
1654903289,31.44,36.65,620.0,1909.0,12819.0,19368,931.071,219.44,228.08,1510.1,235.627,5.407,284
1654903290,31.5,36.3,594.0,1989.0,12812.0,19393,931.067,175.98,182.89,1211.05,188.941,4.322,285
1654903291,31.55,36.06,551.0,1945.0,12815.0,19441,931.057,189.64,184.4434668528237,1305.1,203.579,4.636,286
1654903292,31.6,35.9,540.0,2088.0,12793.0,19450,931.069,217.84,226.36,1499.21,233.843,5.316,287
1654903293,31.68,35.78,516.0,2116.0,12784.0,19476,931.069,278.35,289.22,1915.66,298.773,6.776,288
1654903294,31.71,35.75,580.0,2464.0,12722.0,19416,931.081,329.11,341.96,2265.08,353.25800000000004,8.005,289
1654903295,31.77,35.76,555.0,2671.0,12691.0,19424,931.079,305.33,317.25,2101.43,327.72,7.417999999999999,290
1654903296,31.81,35.76,576.0,2984.0,12644.0,19417,931.079,235.63,244.82,1621.72,252.905,5.722,291
1654903297,31.88,35.69,587.0,3348.0,12589.0,19387,931.083,228.84,237.77,1575.02,245.617,5.553,292
1654903298,31.96,35.84,620.0,3752.0,12524.0,19369,931.066,191.24,198.7,1316.24,205.26,4.64,293
1654903299,32.01,35.95,646.0,4369.0,12421.0,19341,931.059,114.58,119.05,788.62,122.978,2.779,294
1654903300,32.09,35.94,657.0,4913.0,12336.0,19327,931.059,95.16,98.87,654.95,102.134,2.3080000000000003,295
1654903301,32.13,35.96,617.0,5288.0,12277.0,19378,931.055,100.81,104.74,693.81,108.193,2.444,296
1654903302,32.18,35.93,664.0,6087.0,12223.0,19322,931.053,133.19,138.38,916.67,142.946,3.229,297
1654903303,32.26,36.22,615.0,5334.0,12265.0,19372,931.045,127.51,132.48,877.6,136.85299999999998,3.091,298
1654903304,32.27,36.36,505.0,4878.0,12346.0,19490,931.052,77.72,80.75,534.92,83.415,1.884,299
1654903305,32.33,35.97,397.0,3823.0,12510.0,19599,931.057,60.28,62.63,414.91,64.70100000000001,1.461,300
1654903306,32.33,34.41,375.0,4081.0,12464.0,19617,931.055,51.92,53.94,357.34,55.722,1.259,301
1654903307,32.37,33.74,278.0,3252.0,12601.0,19714,931.052,48.89,50.79,336.47,52.469,1.185,302
1654903308,33.79,32.13,263.0,3860.0,12489.0,19737,931.054,48.03,49.9,330.58,51.551,1.164,303
1654903309,34.35,29.52,425.0,9467.0,12057.0,19563,931.059,48.11,49.99,331.14,51.638000000000005,1.166,304
1654903310,34.59,27.66,532.0,9925.0,12040.0,19466,931.051,44.28,46.01,304.79,47.528,1.073,305
1654903311,34.72,26.78,581.0,10772.0,11993.0,19404,931.054,56.1,58.28,386.09,60.207,1.36,306
1654903312,34.88,26.06,620.0,11535.0,11963.0,19370,931.054,218.23,226.74,1502.02,234.223,5.29,307
1654903313,35.03,25.74,593.0,11283.0,11968.0,19396,931.052,223.61,232.32,1539.01,239.991,5.42,308
1654903314,35.19,25.56,611.0,12268.0,11925.0,19376,931.056,291.28,302.63,2004.75,312.617,7.061,309
1654903315,35.27,25.31,647.0,13008.0,11891.0,19342,931.056,258.98,269.07,1782.44,277.951,6.278,310
1654903316,35.41,25.17,647.0,13435.0,11862.0,19337,931.042,635.23,659.98,4372.03,681.7669999999999,15.398,311
1654903317,35.54,25.0,693.0,14847.0,11794.0,19301,931.038,815.34,847.11,5611.64,875.069,19.764,312
1654903318,35.67,24.88,799.0,17197.0,11689.0,19260,931.036,1219.65,1267.17,8394.36,1309.003,29.565,313
1654903319,35.75,24.77,904.0,17167.0,11684.0,19229,931.036,1117.95,1161.51,7694.41,1199.854,27.101,314
1654903320,35.86,24.76,935.0,16930.0,11697.0,19217,931.028,872.48,906.47,6004.91,936.396,21.149,315
1654903321,35.96,24.7,937.0,15686.0,11762.0,19221,931.035,590.44,613.45,4063.78,633.6990000000001,14.313,316
1654903322,36.03,24.63,639.0,12260.0,11925.0,19341,931.035,426.35,442.96,2934.38,457.582,10.335,317
1654903323,36.13,24.19,589.0,10475.0,12002.0,19402,931.028,215.71,224.11,1484.64,231.512,5.229,318
1654903324,36.22,23.67,569.0,9849.0,12036.0,19415,931.031,147.28,153.01,1013.64,158.066,3.57,319
1654903325,36.28,23.33,592.0,11032.0,11982.0,19391,931.026,89.15,92.63,613.6,95.684,2.161,320
1654903326,36.37,23.02,472.0,5362.0,12257.0,19523,931.027,65.86,68.43,453.3,70.687,1.597,321
1654903327,36.43,22.27,419.0,5233.0,12280.0,19570,931.026,38.97,40.49,268.22,41.826,0.945,322
1654903328,36.5,21.96,330.0,4540.0,12394.0,19655,931.022,33.64,34.95,231.52,36.103,0.815,323
1654903329,36.57,21.61,280.0,4178.0,12444.0,19711,931.015,20.12,20.9,138.48,21.594,0.488,324
1654903330,36.6,21.47,270.0,4417.0,12408.0,19723,931.008,16.23,16.86,111.71,17.421,0.3929999999999999,325
1654903331,36.69,21.31,233.0,4392.0,12414.0,19756,931.011,19.38,20.13,133.37,20.797,0.47,326
1654903332,36.74,21.01,246.0,4655.0,12365.0,19744,931.007,18.11,18.81,124.62,19.433,0.439,327
1654903333,36.83,20.97,364.0,6904.0,12180.0,19628,930.999,22.48,23.35,154.71,24.125,0.545,328
1654903334,36.9,20.87,340.0,6079.0,12228.0,19661,930.998,25.48,26.48,175.39,27.35,0.618,329
1654903335,36.94,20.68,309.0,6522.0,12197.0,19687,931.004,59.08,61.39,406.65,63.413,1.432,330
1654903336,36.99,20.54,336.0,7171.0,12176.0,19661,931.013,108.62,112.85,747.56,116.573,2.633,331
1654903337,35.81,20.14,490.0,12405.0,11911.0,19497,931.025,104.95,109.04,722.36,112.643,2.544,332
1654903338,35.36,20.41,462.0,10551.0,12007.0,19528,931.015,108.62,112.86,747.62,116.582,2.633,333
1654903339,35.21,20.69,360.0,5393.0,12249.0,19632,931.017,111.95,116.31,770.5,120.151,2.714,334
1654903340,35.11,20.65,242.0,3593.0,12542.0,19748,930.997,96.68,100.45,665.43,103.765,2.344,335
1654903341,35.06,20.42,172.0,3028.0,12620.0,19822,930.984,67.32,69.95,463.36,72.256,1.632,336
1654903342,34.96,20.2,114.0,2752.0,12674.0,19873,930.976,60.1,62.44,413.62,64.499,1.457,337
1654903343,34.93,20.02,134.0,3010.0,12630.0,19865,930.975,86.71,90.08,596.77,93.059,2.102,338
1654903344,34.9,19.59,132.0,3286.0,12594.0,19871,930.971,126.35,131.27,869.59,135.60299999999998,3.063,339
1654903345,34.89,19.07,171.0,3966.0,12477.0,19819,930.973,172.06,178.77,1184.25,184.671,4.171,340
1654903346,34.88,18.75,241.0,4692.0,12357.0,19746,930.966,173.93,180.71,1197.11,186.676,4.216,341
1654903347,34.89,18.7,325.0,4814.0,12341.0,19666,930.968,198.83,206.58,1368.5,213.401,4.82,342
1654903348,34.86,18.72,327.0,4406.0,12406.0,19667,930.954,183.3,190.44,1261.56,196.726,4.4430000000000005,343
1654903349,34.89,18.72,358.0,4358.0,12412.0,19622,930.952,177.87,184.81,1224.24,190.906,4.312,344
1654903350,34.88,18.9,421.0,4814.0,12339.0,19565,930.955,180.76,187.8,1244.07,193.998,4.382,345
1654903351,34.89,18.96,437.0,4588.0,12384.0,19549,930.952,223.8,232.52,1540.32,240.196,5.425,346
